"address_detail_pid","address","postcode","mb_code16","lga_code","ste_name16","geom"
GAVIC422027767,"12 Leicester Court","3350","20011131000","20570",Victoria,POINT (143.79549507 -37.55495396)
GAVIC424096261,"6 Maxwell Street","3352","20632002280","20570",Victoria,POINT (143.71326808 -37.5183995)
GAVIC720296733,"100 Shortridge Drive","3350","20631937720","20570",Victoria,POINT (143.77268482 -37.54074026)
GAVIC420057670,"41 Victory Avenue","3350","20010170000","20570",Victoria,POINT (143.80882291 -37.55625741)
GAVIC422113943,"11 Southdown Court","3350","20011132000","20570",Victoria,POINT (143.79732555 -37.5551324)
GAVIC421872068,"8 Harding Grove","3352","20631923150","20570",Victoria,POINT (143.70697787 -37.51367216)
GAVIC424676310,"13 Oberon Street","3350","20632005810","20570",Victoria,POINT (143.78894631 -37.55847471)
GAVIC424072517,"9 Arthur Street","3350","20009300000","20570",Victoria,POINT (143.81485197 -37.5568614)
GAVIC424535855,"97 Dyson Drive","3350","20631969950","20570",Victoria,POINT (143.78514222 -37.55607591)
GAVIC419774367,"10 Hume Crescent","3350","20009820000","20570",Victoria,POINT (143.80388432 -37.55538865)
GAVIC411709402,"4 Taunton Place","3355","20011260000","20570",Victoria,POINT (143.81197236 -37.54507286)
GAVIC421182814,"204 Windermere Street","3350","20005590000","20570",Victoria,POINT (143.84485777 -37.56540901)
GAVIC421507403,"2/506 Wendouree Parade","3350","20005910000","20570",Victoria,POINT (143.83018716 -37.54255976)
GAVIC421440446,"1306 Dana Street","3350","20005960000","20570",Victoria,POINT (143.84030421 -37.5619589)
GAVIC420322755,"1353 Gregory Street","3350","20006120000","20570",Victoria,POINT (143.83346625 -37.54252457)
GAVIC419718313,"112 Webster Street","3350","20006140000","20570",Victoria,POINT (143.84727446 -37.55615011)
GAVIC414306706,"77 Lake Gardens Avenue","3355","20012482000","20570",Victoria,POINT (143.81110156 -37.54567469)
GAVIC421815071,"409 South Street","3350","20006220000","20570",Victoria,POINT (143.84803197 -37.56962734)
GAVIC420330873,"1 Martin Avenue","3350","20005900000","20570",Victoria,POINT (143.8414371 -37.54442917)
GAVIC421213706,"5 Claxton Street","3350","20005860000","20570",Victoria,POINT (143.85342781 -37.55603836)
GAVIC419665246,"18 Queen Street","3350","20004822000","20570",Victoria,POINT (143.87787485 -37.56335991)
GAVIC423965944,"407 Clissold Street","3350","20631966960","20570",Victoria,POINT (143.87626459 -37.55364201)
GAVIC419666985,"240 York Street","3350","20008221000","20570",Victoria,POINT (143.87616085 -37.56849234)
GAVIC419952950,"24 Rodier Street","3350","20008710000","20570",Victoria,POINT (143.88278098 -37.56279141)
GAVIC411617051,"62 Wicklow Drive","3350","20012210000","20570",Victoria,POINT (143.85513194 -37.52251957)
GAVIC423821552,"165 Bogong Avenue","3350","20012190000","20570",Victoria,POINT (143.85326211 -37.52481524)
GAVIC421551692,"7 Ford Street","3350","20004390000","20570",Victoria,POINT (143.8730335 -37.56492721)
GAVIC411594587,"53 Wicklow Drive","3350","20012220000","20570",Victoria,POINT (143.85500974 -37.52303965)
GAVIC421806934,"704 Nicholson Street","3350","20005740000","20570",Victoria,POINT (143.86833115 -37.54700276)
GAVIC424250560,"211 Daylesford Road","3350","20631983750","20570",Victoria,POINT (143.91665023 -37.54932156)
GAVIC421626135,"12 Rowlands Street","3356","20013550000","20570",Victoria,POINT (143.8359896 -37.59023076)
GAVIC422122485,"169 Albert Street","3356","20014700000","20570",Victoria,POINT (143.84142991 -37.59631795)
GAVIC411920722,"1161 Geelong Road","3350","20014740000","20570",Victoria,POINT (143.86953156 -37.60103653)
GAVIC412267669,"84 Yarrowee Street","3356","20014880000","20570",Victoria,POINT (143.84273391 -37.59080751)
GAVIC421819410,"803 Tress Street","3350","20009000000","20570",Victoria,POINT (143.85683766 -37.57780451)
GAVIC421788481,"6 Wills Court","3356","20014620000","20570",Victoria,POINT (143.84357958 -37.58804616)
GAVIC419663196,"714 Barkly Street","3350","20008360000","20570",Victoria,POINT (143.85663034 -37.57458451)
GAVIC421922595,"201 Campbells Crescent","3350","20009260000","20570",Victoria,POINT (143.8446096 -37.58113309)
GAVIC423123475,"2/204 Larter Street","3350","20631905740","20570",Victoria,POINT (143.87245155 -37.5727859)
GAVIC420054056,"118 Yarana Drive","3350","20631911710","20570",Victoria,POINT (143.87420625 -37.62509463)
GAVIC420056830,"8/1203 Warrenheip Street","3357","20012910000","20570",Victoria,POINT (143.88246714 -37.65790576)
GAVIC421351648,"10 Forest Street","3357","20631912550","20570",Victoria,POINT (143.89287154 -37.6506032)
GAVIC421040610,"1022 Cornish Street","3357","20014430000","20570",Victoria,POINT (143.8888877 -37.65176798)
GAVIC424476062,"408 Simpson Street","3357","20013410000","20570",Victoria,POINT (143.88146459 -37.65331231)
GAVIC423383122,"116 Greenhill Road","3350","20015321000","20570",Victoria,POINT (143.88737829 -37.61734943)
GAVIC424512758,"102 Cornish Street","3357","20015270000","20570",Victoria,POINT (143.89064299 -37.645769)
GAVIC420883931,"1106 Winter Street","3357","20013400000","20570",Victoria,POINT (143.87856619 -37.65755861)
GAVIC421909080,"6/405 Eyre Street","3357","20014730000","20570",Victoria,POINT (143.88352014 -37.64859976)
GAVIC421178595,"104 Herriott Street","3357","20013890000","20570",Victoria,POINT (143.88913703 -37.65618621)
GAVIC423110767,"65/18 Cooinda Drive","3356","20631942430","20570",Victoria,POINT (143.81914034 -37.59206776)
GAVIC424583092,"20 Holstein Close","3356","20631944290","20570",Victoria,POINT (143.81847266 -37.59127812)
GAVIC424359605,"804 La Trobe Street","3356","20006170000","20570",Victoria,POINT (143.82821276 -37.57155099)
GAVIC419705478,"6 Lawanna Court","3356","20014980000","20570",Victoria,POINT (143.82534821 -37.58322877)
GAVIC425006869,"29 Ascot Gardens Drive","3356","20631971710","20570",Victoria,POINT (143.82118324 -37.5942862)
GAVIC419718373,"226 Park Street","3356","20005160000","20570",Victoria,POINT (143.8255114 -37.57039769)
GAVIC423111601,"46 Greenhalghs Road","3356","20014511000","20570",Victoria,POINT (143.82053156 -37.58586661)
GAVIC421522569,"11 Woolway Court","3356","20013700000","20570",Victoria,POINT (143.81788537 -37.58717971)
GAVIC424256098,"26 Jordan Avenue","3356","20014513000","20570",Victoria,POINT (143.82388416 -37.58526129)
GAVIC420925938,"529 Wiltshire Lane","3356","20015040000","20570",Victoria,POINT (143.80713566 -37.58918519)
GAVIC424496215,"144 Kent Drive","3351","20202600000","22490",Victoria,POINT (143.70145464 -37.60349653)
GAVIC422132247,"38 Burgess Road","3351","20201810000","22490",Victoria,POINT (143.77165126 -37.64321496)
GAVIC420314724,"151 Hendersons Road","3351","20202050000","22490",Victoria,POINT (143.77641999 -37.60541989)
GAVIC421796886,"350 Lacys Road","3351","20201940000","22490",Victoria,POINT (143.78771087 -37.64095525)
GAVIC419710903,"6 Millar Court","3351","20201780000","22490",Victoria,POINT (143.71524492 -37.61406194)
GAVIC421505359,"36 Heather Close","3351","20201790000","22490",Victoria,POINT (143.7865176 -37.60528076)
GAVIC421996075,"175 Bells Road","3351","20201990000","22490",Victoria,POINT (143.79476286 -37.60497745)
GAVIC422302436,"98 Kirkwood Drive","3351","20201850000","22490",Victoria,POINT (143.75701893 -37.62014831)
GAVIC422393907,"112 Finchs Road","3351","20202540000","22490",Victoria,POINT (143.74990255 -37.59569976)
GAVIC420314798,"39 Stephen Street","3351","20202490000","22490",Victoria,POINT (143.68075358 -37.6095647)
GAVIC422164533,"25 Lindsays Road","3355","20011021000","20570",Victoria,POINT (143.80127147 -37.50336159)
GAVIC420371928,"8 Langstaffe Drive","3355","20010712000","20570",Victoria,POINT (143.83369616 -37.52086951)
GAVIC422143353,"18 Dundas Place","3352","20631912810","20570",Victoria,POINT (143.79622657 -37.47822139)
GAVIC424638100,"1320 Howitt Street","3355","20012626000","20570",Victoria,POINT (143.82404606 -37.53913527)
GAVIC424786585,"40 Normlyttle Parade","3352","20631937620","20570",Victoria,POINT (143.80281733 -37.50068126)
GAVIC424968098,"1 Langham Road","3355","20010711000","20570",Victoria,POINT (143.83074015 -37.52012813)
GAVIC419777586,"1 Poplar Street","3355","20010490000","20570",Victoria,POINT (143.84013019 -37.53685122)
GAVIC421548151,"7 Pickford Street","3355","20010640000","20570",Victoria,POINT (143.83570846 -37.52741785)
GAVIC419768673,"6 Bogart Drive","3355","20011200000","20570",Victoria,POINT (143.83803285 -37.53335579)
GAVIC420053043,"1/1 Theobald Street","3355","20010200000","20570",Victoria,POINT (143.83278787 -37.52348426)
GAVIC420871433,"61 Greendale-Myrniong Road","3341","20631985980","25150",Victoria,POINT (144.30507908 -37.56308279)
GAVIC421518174,"19 Pine Court","3341","20459690000","25150",Victoria,POINT (144.30687308 -37.52329979)
GAVIC423220211,"120 Inglis Street","3342","20459991000","25150",Victoria,POINT (144.22685969 -37.59993559)
GAVIC410910403,"17 Terrill Street","3458","20631923310","25150",Victoria,POINT (144.3072969 -37.47296626)
GAVIC421823491,"20 Edols Street","3342","20459770000","25150",Victoria,POINT (144.23503943 -37.60230762)
GAVIC720058874,"10 Flack Street","3342","20631908180","25150",Victoria,POINT (144.22443143 -37.59123052)
GAVIC421786572,"62 Atkinson Street","3342","20459370000","25150",Victoria,POINT (144.22892439 -37.60349391)
GAVIC424365778,"6 Roch Court","3342","20459930000","25150",Victoria,POINT (144.22588005 -37.59757735)
GAVIC423795289,"14 Lyon Place","3342","20631908200","25150",Victoria,POINT (144.23448244 -37.59123683)
GAVIC420307097,"14 Atkinson Street","3342","20631910550","25150",Victoria,POINT (144.23673041 -37.60348678)
GAVIC424964020,"25 Cemetery Road","3370","20274060000","22910",Victoria,POINT (143.75991149 -37.29245328)
GAVIC424538377,"3 Hannah Street","3370","20273930000","22910",Victoria,POINT (143.7842775 -37.29506482)
GAVIC424066395,"14/5 Moore Street","3363","20274580000","22910",Victoria,POINT (143.89690167 -37.42056262)
GAVIC421886779,"73 Bute Close","3370","20273820000","22910",Victoria,POINT (143.76895028 -37.28386422)
GAVIC421229229,"19 Smyth Street","3364","20274040000","22910",Victoria,POINT (143.92339266 -37.37287112)
GAVIC719763341,"109 Pasco Street","3363","20274540000","22910",Victoria,POINT (143.88947828 -37.40856293)
GAVIC420436214,"24 Reed Street","3363","20273730000","22910",Victoria,POINT (143.88685461 -37.42698081)
GAVIC422028220,"46 Haines Street","3363","20274000000","22910",Victoria,POINT (143.89292546 -37.41409979)
GAVIC421771839,"25 Albert Street","3370","20273832000","22910",Victoria,POINT (143.78996738 -37.28718286)
GAVIC414280034,"19 Semmens Avenue","3363","20274470000","22910",Victoria,POINT (143.89624254 -37.430345)
GAVIC421184962,"39 Collins Road","3461","20272780000","22910",Victoria,POINT (144.24860225 -37.30190239)
GAVIC421541877,"18 Mineral Springs Crescent","3461","20272190000","22910",Victoria,POINT (144.13878847 -37.30856822)
GAVIC419748989,"6 Blue Mount Road","3458","20272120000","22910",Victoria,POINT (144.31803294 -37.38900138)
GAVIC414326832,"57 Hepburn Road","3460","20272170000","22910",Victoria,POINT (144.14146692 -37.32492266)
GAVIC421810812,"32 Cosmo Road","3458","20272661000","22910",Victoria,POINT (144.32076694 -37.39271159)
GAVIC424629048,"165 Ridge Road","3461","20272930000","22910",Victoria,POINT (144.12732424 -37.36330548)
GAVIC421561146,"30 Park Street","3458","20273310000","22910",Victoria,POINT (144.31914599 -37.39327334)
GAVIC421567136,"145 Woodduck Drive","3461","20272300000","22910",Victoria,POINT (144.22178752 -37.33251181)
GAVIC425098133,"41 Albert Street","3460","20272020000","22910",Victoria,POINT (144.14036308 -37.34082484)
